User,1: Toy Story (1995),1210: Star Wars: Episode VI - Return of the Jedi (1983),356: Forrest Gump (1994),"318: Shawshank Redemption, The (1994)","593: Silence of the Lambs, The (1991)",3578: Gladiator (2000),260: Star Wars: Episode IV - A New Hope (1977),2028: Saving Private Ryan (1998),296: Pulp Fiction (1994),1259: Stand by Me (1986),2396: Shakespeare in Love (1998),2916: Total Recall (1990),780: Independence Day (ID4) (1996),541: Blade Runner (1982),1265: Groundhog Day (1993),"2571: Matrix, The (1999)",527: Schindler's List (1993),"2762: Sixth Sense, The (1999)",1198: Raiders of the Lost Ark (1981),34: Babe (1995),Mean
755,2,5,2,,4,4,1,2,,3,2,,5,2,5,4,2,5,,,"3,2"
5277,1,,,2,4,2,5,,,4,3,2,2,,2,,5,1,3,,"2,769230769"
1577,,,,5,2,,,,,1,,1,4,4,1,1,2,3,1,3,"2,333333333"
4388,2,3,,,,1,,3,4,,,4,,3,5,,5,1,1,2,"2,833333333"
1202,,3,4,1,4,1,4,4,,1,5,1,,4,,3,5,5,,,"3,214285714"
3823,3,4,4,4,,,2,1,4,4,5,2,4,,1,,,3,,2,"3,071428571"
5448,,,3,1,1,4,4,5,2,,1,,,3,,1,,,5,2,"2,666666667"
5347,2,,,,3,2,4,,3,,,2,1,2,4,,1,3,5,,"2,666666667"
4117,4,1,,4,2,4,5,4,,1,2,,1,,5,,,,,5,"3,166666667"
2765,4,2,,5,3,,4,3,4,,,,2,,,2,5,1,,,"3,181818182"
5450,5,1,5,,,5,2,,,,,3,2,,,1,,2,1,4,"2,818181818"
139,2,5,2,,,,3,,1,,3,,3,,2,5,,,,2,"2,8"
1940,4,,,5,4,,2,5,,,,2,4,,3,,,,5,,"3,777777778"
3118,3,,3,,2,,3,,,4,,1,2,2,3,5,1,,,,"2,636363636"
4656,2,4,,,5,5,4,,3,5,,1,3,,2,,3,,3,1,"3,153846154"
4796,,,1,,3,2,,2,,1,5,,2,,,2,2,4,3,4,"2,583333333"
6037,2,,,,,,,,2,,2,,3,,3,4,,,,,"2,666666667"
3048,4,5,1,5,1,1,4,,5,,,,,4,,,2,1,2,5,"3,076923077"
4790,2,1,3,,,4,5,1,3,3,3,1,,,,2,,,,,"2,545454545"
4489,2,2,2,4,5,,1,3,2,2,1,,4,5,5,4,3,5,3,,"3,117647059"
L2,"11,83215957","11,66190379","9,899494937","12,40967365","12,4498996","11,35781669","14,24780685","10,90871211","10,63014581","9,949874371","10,77032961","6,782329983","11,74734012","10,14889157","12,52996409","11,04536102","11,66190379","11,22497216","10,86278049","10,39230485",
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
5277 Predictions,1: Toy Story (1995),1210: Star Wars: Episode VI - Return of the Jedi (1983),356: Forrest Gump (1994),"318: Shawshank Redemption, The (1994)","593: Silence of the Lambs, The (1991)",3578: Gladiator (2000),260: Star Wars: Episode IV - A New Hope (1977),2028: Saving Private Ryan (1998),296: Pulp Fiction (1994),1259: Stand by Me (1986),2396: Shakespeare in Love (1998),2916: Total Recall (1990),780: Independence Day (ID4) (1996),541: Blade Runner (1982),1265: Groundhog Day (1993),"2571: Matrix, The (1999)",527: Schindler's List (1993),"2762: Sixth Sense, The (1999)",1198: Raiders of the Lost Ark (1981),34: Babe (1995),
