,1648,5136,918,2824,3867,860,3712,2968,3525,4323,3617,4360,2756,89,442,3556,5261,2492,5062,2486,4942,2267,4809,3853,2288
11: Star Wars: Episode IV - A New Hope (1977),,"4,5",5,"4,5",4,4,,5,4,5,,4,,4,3,4,,"4,5",4,"3,5",,,,,
12: Finding Nemo (2003),,5,5,,4,4,"4,5","4,5",4,5,,4,5,"4,5",,4,,"3,5",4,2,"3,5",,,,"3,5"
13: Forrest Gump (1994),,5,"4,5",5,"4,5","4,5",,5,"4,5",5,5,"4,5","4,5",5,3,4,5,"3,5","4,5","4,5",4,"3,5","4,5","3,5","3,5"
14: American Beauty (1999),,4,,,,,"4,5",2,"3,5",5,"3,5",5,"3,5",,4,4,,"3,5","4,5","3,5",4,,"3,5",,
22: Pirates of the Caribbean: The Curse of the Black Pearl (2003),4,5,3,"4,5",4,"2,5",,5,3,4,4,"4,5",4,,1,3,"1,5",4,4,"2,5","3,5",,5,,"3,5"
24: Kill Bill: Vol. 1 (2003),3,5,,4,3,3,,"0,5","3,5",5,4,4,4,5,5,5,"0,5",4,4,"4,5",4,5,,5,3
38: Eternal Sunshine of the Spotless Mind (2004),,5,5,,,,,"0,5",4,5,,3,,5,3,,,,4,3,5,"1,5",5,5,
63: Twelve Monkeys (a.k.a. 12 Monkeys) (1995),,3,,,,4,,"2,5","3,5",2,,,,,2,,4,4,,"3,5",,,,4,5
77: Memento (2000),,,5,5,,"4,5",,3,"4,5","3,5","3,5",4,4,,4,,5,4,4,"4,5",5,4,,"4,5",5
85: Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),,5,,,"4,5",,,3,4,5,,"4,5",,,5,4,,5,4,"4,5","3,5",,,4,3
98: Gladiator (2000),,"3,5",,5,4,4,,"4,5","3,5",4,5,3,5,,4,"3,5","3,5",5,4,2,"4,5",3,"4,5",3,4
105: Back to the Future (1985),"4,5",5,5,,,"4,5",,5,4,5,,"3,5",4,5,5,4,5,"3,5","4,5","4,5","4,5",,,,2
107: Snatch (2000),,,,5,,"3,5",,"4,5",4,,,,4,,,,"3,5",,4,3,"2,5",,,,3
114: Pretty Woman (1990),,"3,5",,,4,,4,"2,5","3,5",5,,"4,5",3,"3,5",,"3,5",,4,,"2,5",3,,,,2
120: The Lord of the Rings: The Fellowship of the Ring (2001),,5,,4,5,,5,5,4,"0,5",,3,4,,5,"3,5",,"3,5","4,5",4,"4,5","2,5",,5,4
121: The Lord of the Rings: The Two Towers (2002),,5,"4,5",4,5,,5,"4,5",4,1,,4,5,,5,3,1,4,"4,5",4,"4,5",,,5,4
122: The Lord of the Rings: The Return of the King (2003),,5,,4,5,,5,5,4,"0,5",,3,4,,5,"3,5",,5,5,"4,5","4,5","2,5",,4,4
134: O Brother Where Art Thou? (2000),,,,,,,,2,,,,,,,,"4,5",,,4,2,,"2,5",,,
141: Donnie Darko (2001),,3,,,,"2,5",,"2,5","4,5",,,,,"4,5",3,,"3,5",,"4,5",2,4,,,4,
146: Crouching Tiger Hidden Dragon (Wo hu cang long) (2000),"2,5",4,,,,"3,5",5,5,"2,5","0,5","3,5",,"3,5",,,"4,5",,"3,5","3,5",4,,4,4,,4
153: Lost in Translation (2003),,"4,5",,,,,4,5,"3,5",4,,,,,3,4,,4,"4,5",4,,,,"4,5","1,5"
155: The Dark Knight (2008),5,5,,5,5,4,,5,"3,5",5,4,5,4,5,3,,"4,5",5,"4,5","4,5","4,5",3,"4,5",5,"3,5"
