Item,Availability,ASIN,Price,Brand,Title,LeafCat,FullCat
24,"0,4752373543",B00004Z498,"3,62",Scotch,"3M Scotch Mounting Tape, .5-Inch by 75-Inch (110)",Mounting Tape,"Office Products/Office & School Supplies/Tape, Adhesives & Fasteners/Velcro & Mounting Products/Mounting Tape"
30,"0,5438468862",B00004Z5QO,"8,16",Avery,"Avery Easy Peel Return Address Labels for Inkjet Printers, 0.5 x 1.75 Inches, White, Pack of 2000 (08167)",Printer Labels: Laser & Inkjet,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Printer Labels: Laser & Inkjet"
35,"0,3360807817",B00004Z5SN,"8,22",Avery,"Avery Easy Peel Address Labels for Laser Printers, 1 x 2.625 Inches, White, Pack of 750 (05260)",Address Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Address Labels"
41,"0,5644930463",B00004Z69W,"15,96",Avery,"Avery Easy Peel Address Labels for Inkjet Printers, 1 x 2.625 Inches, Clear, Pack of 750 (08660)",Address Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Address Labels"
45,"0,9089221363",B0000538AC,"4,39",Scotch,"Scotch(R) Gift Wrap Tape, 0.75 x 300 Inches, 3 Pack (311)",Transparent Tape,"Office Products/Office & School Supplies/Tape, Adhesives & Fasteners/Tape/Transparent Tape"
71,"0,5181379416",B00006B8G0,"9,2",Avery,"Avery&reg; White Shipping Labels for Laser Printers with  TrueBlock(TM) Technology, 2 inches x 4 inches, Pack of 250 (5263)",Shipping Labels,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Labels & Stickers/Shipping Labels"
72,"0,3899469349",B00006B8GI,"59,99",Avery,Avery Index Maker Clear Label Dividers with 5 White Tabs 25 Count (11446),Binder Index Dividers,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Index Dividers/Binder Index Dividers"
103,"0,7268125432",B00006IBV7,"10,53",Avery,"Avery Two-Side Printable Clean Edge Business Cards for Inkjet Printers, Matte, White, Pack of 200 (08871)",Business Cards,Office Products/Office & School Supplies/Paper/Cards & Card Stock/Business Cards
124,"0,6132159815",B00006ICEM,"3,14",Wilson Jones,"Wilson Jones Insertable Tab Dividers, Multicolor Tabs , 8-Tabs, 1 Set (W54311A)",Binder Index Dividers,"Office Products/Office & School Supplies/Labels, Indexes & Stamps/Index Dividers/Binder Index Dividers"
129,"0,4061774205",B00006IDMJ,"4,34",Five Star,"Five Star Spiral Notebook, College Ruled, 1 Subject, 8.5 x 11 Inches, 100 Sheets, Assorted Colors (06206)",Wirebound Notebooks,Office Products/Office & School Supplies/Paper/Notebooks & Writing Pads/Wirebound Notebooks
133,"0,5644930463",B00006IDV6,"3,47",Mead,"Five Star Reinforced Filler Paper, Wide Ruled, 110 ct (15106)",Filler Paper,Office Products/Office & School Supplies/Paper/Filler Paper
186,"0,4545015465",B00006IF5Q,"6,84",3M,3M 1.5&quot; See-Through Book Repair Tape,Transparent Tape,"Office Products/Office & School Supplies/Tape, Adhesives & Fasteners/Tape/Transparent Tape"
189,"0,5181379416",B00006IF6J,"8,4",Scotch,"Scotch High Performance Masking Tape 232 Tan, 18 mm x 54.999 m (Pack of 1)",Transparent Tape,"Office Products/Office & School Supplies/Tape, Adhesives & Fasteners/Tape/Transparent Tape"
191,"0,438503157",B00006IF70,"16,57",Scotch,"Scotch Filament Tape 893 Clear, 48 mm x 55 m (Pack of 1)",Packing Tape,"Office Products/Office & School Supplies/Envelopes, Mailers & Shipping Supplies/Packing Materials/Packing Tape"
221,"0,3567661956",B00006IFKW,"10,91",Swingline,"Swingline Standard Stapler Value Pack, Includes Stapler, 5000 Count Staples and Staple Remover, Black (S70754551H)",Desktop Staplers,Office Products/Office & School Supplies/Staplers & Punches/Manual Staplers/Desktop Staplers
