item,64,65,75,79,83,112,252,271,301,305,376,377,396,407,417,442,447,485,514,521,535,550,583,585,592,596,665,672,675,677,690,781,784,791,804,851,853,889,892,907,971,993,1006,1107,1112,1147,1346,1348,1351,1355,1520,1528,1551,1552,1638,1716,1730,1740,1750,1752,1762,1813,1817,1833,1838,1862,1871,2128,2177,2190,2234,2340,2578,2597,2612,2762,2780,2822,2832,2835,2843,2858,2862,2895,2964,3148,3251,3252,3253,3347,3411,3430,3524,3533,3625,3902,3991,4047,4342,4462
24,,,,,,,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,5,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,4,,,,,,,,,,,,,,,,,,,5,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,4,,,,,,5,5,,,,,,,,5,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,5,4,5,,,,,,5,,,,,,,,,,,,,5,,,,,,,,,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,5,,,,,,,,,,,,,,,,,,,,,,,5,,,4,,,5,,,,,,,,,,,,,,,,,1,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,4,,,,,,,,5,,,,,,,,,,,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,4,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,5,,,,,,,5,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,3,,,,,,,,,5,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,5,,,,,,,,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,5,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,,,,,,,,,,,,4,,,,,,,,,,4,,5,2,,,,,,,,,5,,,,,5,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,5,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,5,,,,,,5,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,5,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
305,,,,,,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,5,3,5,4,,,,,,,,,,,,,,,,,
327,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
417,,,,,,4,,5,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,,,,,,,5,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
419,,,,,,5,,,,,,,4,,,,,5,,,4,5,5,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,4,,,,4,,,,,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,,,
423,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,4,2,,,,,,5,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
435,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,4,,5,,,,5,,,4,,,,,,,,,,,,,,4,,,,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
454,,,,,,,,,,,,,5,,,,,,,,,5,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,5,,,,,,,,,5,,,,,,,,,,,5,,,,5,,,,,,,,,
482,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,5,,,,,5,5,,,,,,
517,,,,,,,,,,,,,,,4,,,,,,,,3,,,,,,,,,,,,,,,,,5,,,,,,,,,,4,,,,4,,,,,,,,,5,,,,,5,,,,,,,,,,,,4,5,,,,5,,,,,,,,,,4,,,,,
540,,,,5,,,,,,,,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,4,,5,,,,,,,,,,,,,,,,2,,,,,,5,,,,,,,,,,,,,4,,5,,,,,,,,,,,,
603,,,,5,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,,4,,,,,,,,,,,,,,,4,5,,,,,,,,,,,
619,,,,,,,,,,,,,,,4,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,5,,,,,,,,,,4,,,,,,,,,,,,,,,,,
620,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,4,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,5,,,,4,,,,,,
670,,,,,,,,3,,,,,,5,,,,,,,,,,3,,,2,,4,,,,5,,,,,,4,5,,,5,,,1,,,,,,,,4,,,,,,,,4,,,,4,5,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,,,,
756,,,,,,,,,,,,,,,4,,,,,,5,,,,,,,5,4,,,,,,,5,,,,,,,,,,5,,,5,,,,,,,,,,,,,4,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,3,,,,4,,
779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,5,,,,5,,,,,,,,,
795,,,,,,,,,,,,5,5,,3,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,4,,4,,,3,,,5,,,,,,,,,,,,,,,,,4,,4,,,,,,,,
806,,,,,,,,,,,,,,,,,,,,5,,,,,,,5,,,,,,,,,,4,,3,,,,,,,,,,4,4,,5,,,,,,,,,,,,3,,,2,,,,,,,4,,,,,,,,,,,,,,,,3,,,,,,,,5,,
817,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,5,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,5,,,
825,,4,,4,,,,,,,5,4,5,,,,,,,,,5,,,5,,4,,,,,,,,5,5,,,,,3,,,,,5,,,,,5,,,5,,,,,,,,,4,5,,,3,,,5,,4,3,,3,4,,,4,,,,,4,,,5,,,,3,,4,,,4,,,,
829,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
837,,,4,,,,4,5,,,5,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,4,,,,,,,,,,,,,,,,,,,,,,,,5,,3,
863,,,,,,,,,,4,,,,,,,,,,5,,,,,,,4,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
952,,,,,,,,,,,,,,,,4,,,,,,,5,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,4,,,,3,,,5,,,,,,,,,,,,,,,,,,4,
995,,,,,,,,,4,,,,,,,,,,,,5,,,,,,,,,,,,4,5,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5
1004,,,,,,,,,,,,,2,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,5,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,4,,5,,,,,,,5,,,5,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,,,,,,,,,,,5,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,5,,,,,,,,,,,,,,,,,,,4,,5,5,,,,,,,,,,,,,,,,4,
1079,,,,,,,,,,,5,,,,,5,,4,,,,,,,,,,,,,,,5,5,,,,5,,,,,,,,,,,,,,,,,,,,4,,5,,,4,,,,,,,5,,,,,,,,,,,,,,,5,,,,,,,,,,,5,,,,
1118,,,,,,,,,,,5,,,,4,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
1148,,,,,,,,5,,,,,,,,,,,,,,,,,,,5,,4,,,,,,,,,,,,,,,,,5,,,,,,,4,,,,,,,,,,,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
1203,,,,5,,,,,,,,,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4,,5,,,,,,,,,,5,,,,5,,,3,,,5,,,,,
1217,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,5,,3,,,,,,,,,,4,5,,,4,,,,,,,,5,,,,,,,,,,,,,,4,,5,,,,,,5,,5,,,,,,,,,,5,4,5,4,,,,,,,,,,5
1224,,,,,,,,,,,,,,,,,,,,,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,4,,,,,,,,,
1240,5,,,,,5,,,,,,,,,,,,,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
1241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,4,,,,,,,,,,,,,,,
1243,,,,4,,,,,,,,,,,4,,,5,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,,,,,,,,,,,,,,,5,,,5,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
1244,,,,,,,,,,5,,,5,,,,,,,3,,,,,4,,,,5,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,5,,,,,,,,,,,,,,,,,5,2,,,5,,,5,,,,
1245,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,5,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,
1266,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,5,,,
1280,,,,,5,,,,,,,,,,,,,,,5,,,,,,,,4,,3,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
1292,,,,5,,,,,,,,4,,5,4,,,,5,,5,,,,,4,,,,,5,,,5,,,5,,,,,,,,5,5,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
1294,,,,,,,,,5,,,3,,,,,,5,,,,,,5,,,5,5,,5,,5,,5,,,,,,,,,,3,,,,,,,5,4,,,,,,,,,,,5,,,,,,5,5,5,5,,,5,,,,4,,,,,,,4,,,,,,,,,,,,3,,
1295,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,5,,,,,,5,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
1296,,,,5,5,,5,,,,,4,,5,,,,,,,,,,5,,,,,4,,,,,,,,5,,,,,,,,,5,,,,4,,,,,,,,,,,,,,5,,,,,,,5,,,5,,,,,,,,,,4,,,,5,5,,,,,5,,5,,,,5
1297,,,,,,,,,,,,3,,,,,,,,,,,,5,5,4,,,,,5,,,,,,,,,,,,,,5,,,,,,5,,,5,,,,,,,,,5,,,,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
1298,,,,5,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,5
1299,,,,,,,,,,,,5,,,,,,5,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,4,,,,,,,
1300,4,,,,,,,,,,,,,,3,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,5,,,,,,,,,,,4,,,,,,5,,,,,,,,,,,,,,,,,,,,,4,,4,,,,,,,
1317,5,,,,,,,,,,,,,,,,,,,,,,5,,5,,5,5,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,5,,,,5,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,5,,
1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,4,
1322,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
1323,,,,,5,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,,,,,,,,,,,5,,,,,,,,5,5,,,,,,5,,,,,,,,5,,,,,5,,,,,,,,,,,5,,,,,,5,,,,,,,,,
1324,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,5,4,,4,,,,,,,,,,5,,5
1326,,,,,,,,,,,,,,,,,,5,,,,5,,,,,,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,4,,5,,
1327,3,,,,,,,,,,,,,,,,,5,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,4,,,,,,,,,,5,,,,,,,,,,,,,,,
1328,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,5,,,,,,,,5,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
1330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,,,,,,,,,,,,,,,4,,,5,,,,,,,,,,,,,4,,,,,,,,5,,,,,,,,,,,,
1342,,,,,,,,,,5,,,,,,,,,5,5,,5,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5
1362,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,5,,,5,,5,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
1365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
1366,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1377,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,5,,,,,,,,5,,,5,5,5,,,,,,,,,,4,5,,,,,,,,5,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
1379,,,,,5,,,,,,,,,4,,,,,,,,,5,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
1387,,4,,,,,,,,,,,5,,,,,,,5,,,,5,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1389,,,5,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,4,,,,,,,,,2,,,,,,,,,,5,4,5,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,5,,,,,3,,,
1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420,,,,,,,,,,,,,,3,,,,,3,,,,,,,5,,,,,,,5,5,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,4,4,,,4,,,,4,,,3,,,,,,,,,,,,4,,,,,5,,,,,
